,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-08-10,188.160004,200.460007,187.339996,199.979996,198.964066,10815100.0,10815100.0,11.81999,6.282,195.92667,"August 10, 20",0.06282
2020-08-07,172.470001,183.880005,172.470001,183.529999,182.597641,6309700.0,6309700.0,11.06,6.413,179.96,"August 07, 20",0.06413
2020-08-06,172.0,173.479996,171.320007,172.240005,171.365021,1364900.0,1364900.0,0.24,0.14,172.34667,"August 06, 20",0.0014
2020-08-05,171.850006,172.419998,170.240005,171.699997,170.827744,1310000.0,1310000.0,-0.15001,-0.087,171.45333,"August 05, 20",-0.00087
2020-08-04,169.220001,171.479996,169.199997,170.660004,169.79303,1264000.0,1264000.0,1.44,0.851,170.44667,"August 04, 20",0.00851
2020-08-03,169.550003,170.589996,168.529999,169.220001,168.360352,1503400.0,1503400.0,-0.33,-0.195,169.44667,"August 03, 20",-0.00195
2020-07-31,172.0,172.710007,167.990005,168.399994,167.54451,2488000.0,2488000.0,-3.60001,-2.093,169.7,"July 31, 20",-0.02093
2020-07-30,174.149994,174.5,169.860001,172.710007,171.832626,5407300.0,5407300.0,-1.43999,-0.827,172.35667,"July 30, 20",-0.00827
2020-07-29,167.100006,171.369995,167.009995,169.550003,168.688675,4623800.0,4623800.0,2.45,1.466,169.31,"July 29, 20",0.01466
2020-07-28,169.419998,170.330002,166.710007,166.929993,166.08197,2374500.0,2374500.0,-2.49,-1.47,167.99,"July 28, 20",-0.0147
2020-07-27,165.0,170.720001,163.860001,170.639999,169.773132,2926400.0,2926400.0,5.64,3.418,168.40667,"July 27, 20",0.03418
2020-07-24,164.690002,166.880005,164.190002,165.039993,164.201569,1545900.0,1545900.0,0.34999,0.213,165.37,"July 24, 20",0.00213
2020-07-23,165.410004,167.389999,164.649994,165.990005,165.146759,1387200.0,1387200.0,0.58,0.351,166.01,"July 23, 20",0.00351
2020-07-22,164.639999,165.940002,163.440002,165.139999,164.301071,1231800.0,1231800.0,0.5,0.304,164.84,"July 22, 20",0.00304
2020-07-21,165.100006,167.559998,164.410004,165.5,164.659241,1731700.0,1731700.0,0.39999,0.242,165.82333,"July 21, 20",0.00242
2020-07-20,164.889999,165.550003,162.809998,164.130005,163.296204,1593300.0,1593300.0,-0.75999,-0.461,164.16334,"July 20, 20",-0.00461
2020-07-17,167.279999,168.119995,164.910004,165.979996,165.136795,2047900.0,2047900.0,-1.3,-0.777,166.33667,"July 17, 20",-0.00777
2020-07-16,161.770004,167.100006,160.470001,166.100006,165.25621,4100000.0,4100000.0,4.33,2.677,164.55667,"July 16, 20",0.02677
2020-07-15,160.419998,162.529999,159.039993,161.25,160.430832,3332800.0,3332800.0,0.83,0.517,160.94,"July 15, 20",0.00517
2020-07-14,156.229996,158.919998,155.529999,158.5,157.694809,1638900.0,1638900.0,2.27,1.453,157.65,"July 14, 20",0.01453
2020-07-13,160.0,160.220001,155.660004,156.229996,155.436325,1735900.0,1735900.0,-3.77,-2.356,157.37,"July 13, 20",-0.02356
2020-07-10,156.199997,159.009995,155.970001,158.589996,157.784332,1746200.0,1746200.0,2.39,1.53,157.85666,"July 10, 20",0.0153
